Current Date:,9/9/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/8/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.044,C,C,.040,.034,.036,.038,.042,.042,.043,.050,.059,.070,.072,.064,.058,.054,.048,.049,.049,.049,.047,.048,.049,.072,14
,CHULA VISTA,.007,.006,C,C,.002,.002,.002,.004,.012,.024,.043,.052,.059,.057,.054,.053,.047,.043,.037,.026,.024,.019,.018,.006,.027,.059,12
,DOWNTOWN SES,.020,.015,C,C,.006,.002,.003,.005,.010,.020,.037,.054,.048,.044,.053,.049,.044,.041,.042,.037,.031,.027,.021,.014,.028,.054,11
,EL CAJON LES,.019,.013,C,C,C,.006,.010,.016,.016,.030,.043,.054,.061,.064,.055,.050,.049,.045,.040,.035,.030,.029,.027,.024,.034,.064,13
,KEARNY MESA,.020,.015,C,C,.006,.003,.006,.019,.028,.030,.048,.057,.060,.058,.055,.052,.050,.048,.046,.045,.041,.037,.023,.030,.035,.060,12
,OTAY MESA DVN,.013,.003,C,C,.010,.003,.004,.031,.039,.033,M,M,M,.064,.059,.053,.048,.047,.047,.037,.029,.004,.018,.042,.030,.064,13
,PENDLETON,.020,.017,C,C,.013,.010,.011,.020,.030,.038,.042,.049,.048,.050,.057,.058,.060,.058,.045,.039,.024,.019,.019,.019,.033,.060,16
03 NO2 PPB,ALPINE,3.3,2.1,C,C,2.5,6.0,3.6,1.6,1.9,1.9,1.7,2.0,2.9,3.4,4.3,4.0,4.2,5.2,4.3,.6,.7,.7,1.1,1.0,2.6,6.0,05
,CARMEL MT RCH,12.2,8.0,C,C,23.2,11.3,14.5,13.2,30.3,24.3,21.9,22.6,23.1,17.4,18.3,18.5,17.8,21.6,27.8,29.4,23.0,31.0,35.1,12.6,20.7,35.1,22
,CHULA VISTA,13.0,13.1,C,C,17.0,18.2,20.8,24.5,25.8,26.9,22.1,23.4,11.5,11.1,12.5,8.1,10.3,11.3,14.1,24.8,22.5,22.4,19.4,29.8,18.3,29.8,23
,DOWNTOWN SES,6.1,9.1,C,C,14.8,17.3,18.0,22.4,27.3,24.2,19.4,14.4,14.6,12.5,5.0,5.6,7.8,8.8,9.3,11.9,14.3,17.1,17.9,20.5,14.4,27.3,08
,EL CAJON LES,7.4,7.2,C,C,C,12.3,12.0,13.8,21.2,13.7,7.5,3.4,4.6,5.2,4.6,4.4,4.9,6.9,8.5,10.3,10.2,8.3,8.0,8.1,8.6,21.2,08
,KEARNY MESA,7.7,12.0,C,C,22.3,24.2,23.5,22.2,17.9,16.3,7.0,6.1,5.1,4.0,4.0,3.7,4.5,6.7,9.4,5.6,8.1,7.9,21.6,16.3,11.6,24.2,05
,OTAY MESA DVN,19.0,33.2,C,C,19.2,32.7,30.6,11.2,5.6,12.1,M,M,M,5.2,6.8,5.2,2.9,2.6,1.9,4.5,10.5,39.5,22.0,.8,13.9,39.5,21
,PENDLETON,7.1,7.5,C,C,10.4,12.7,11.7,8.1,7.6,8.6,4.8,3.2,4.1,2.6,1.8,3.0,2.9,4.8,7.1,10.4,21.8,21.8,19.5,15.5,8.9,21.8,20
04 NO PPB,ALPINE,.0,.0,C,C,.0,.5,.3,.1,.4,.3,<,.1,.1,.1,.2,.1,.1,.1,.2,.0,.1,.0,.0,.0,.1,.5,05
,OTAY MESA DVN,.3,8.0,C,C,16.4,31.5,28.3,15.4,2.2,1.7,M,M,M,.7,.5,.5,.2,.6,.0,.0,.2,5.3,.5,.1,5.9,31.5,05
,PENDLETON,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,.5,.3,.4,.4,.8,.7,.7,.7,.6,.7,.7,.8,.7,.8,.8,.8,.5,.9,1.1,.3,.6,1.1,22
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,25,25,<,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,11
,CARMEL MT RCH,25,25,26,26,26,25,25,25,25,25,25,26,25,26,26,26,25,25,25,25,25,25,25,25,25,26,02
,CHULA VISTA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,DOWNTOWN SES,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,26,01
,EL CAJON LES,26,27,27,27,27,26,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,26,26,26,26,27,01
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,25,25,25,25,M,24,23,24,24,24,24,24,25,25,25,25,25,26,00
,PENDLETON,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,<,<,<,<,<,<,<,<,<,<,<,<,<,6.6,8.7,8.7,7.6,7.9,7.1,6.4,7.0,6.6,6.5,6.5,7.2,8.7,14
,DOWNTOWN SES,13.4,13.7,14.3,14.8,15.4,15.8,15.9,16.4,17.3,16.1,14.9,14.2,11.1,12.1,9.0,7.2,7.2,8.2,8.1,8.5,7.8,9.1,9.6,10.0,12.0,17.3,08
,EL CAJON LES,11.5,11.4,11.8,11.5,11.4,11.6,11.5,10.5,13.5,11.4,8.8,7.2,7.9,8.9,7.7,6.6,6.8,6.7,7.1,7.7,8.0,8.1,8.1,8.1,9.3,13.5,08
,OTAY MESA DVN,26.9,57.5,34.3,37.7,33.5,48.9,43.3,91.0,72.0,9.3,9.1,9.1,14.7,12.6,11.2,9.5,7.2,6.6,6.7,7.5,10.4,24.2,16.4,16.1,25.6,91.0,07
,PENDLETON,13.6,12.7,13.3,14.4,13.7,13.8,13.3,13.3,12.4,13.6,18.9,17.0,14.2,12.6,12.7,14.7,14.2,14.0,11.1,19.8,26.9,32.4,35.6,30.5,17.0,35.6,22
12 VWDR °,ALPINE,82,92,107,88,8,125,140,108,44,340,<,261,308,279,293,309,280,180,67,72,77,82,70,103,0,340,09
,CHULA VISTA,79,175,168,288,34,108,29,1,353,331,316,271,274,290,296,333,350,359,294,320,281,179,112,358,0,359,17
,DOWNTOWN SES,340,187,151,164,98,126,217,328,351,316,306,286,306,310,330,339,359,8,333,343,328,342,343,342,0,359,16
